Date,Open,High,Low,Close,Adj Close,Volume
2009-12-03,536.200012,540.000000,530.400024,535.849976,410.332947,18151
2009-12-04,527.400024,558.750000,526.549988,549.250000,420.594177,177091
2009-12-07,547.049988,566.349976,547.000000,556.849976,426.413879,80956
2009-12-08,556.849976,562.000000,553.650024,560.150024,428.940948,28320
2009-12-09,559.000000,559.000000,550.150024,553.000000,423.465759,17933
2009-12-10,550.000000,568.000000,550.000000,555.500000,425.380157,32216
2009-12-11,555.299988,565.700012,550.000000,555.250000,425.188690,35423
2009-12-14,555.000000,558.000000,550.299988,556.250000,425.954498,25237
2009-12-15,563.900024,591.500000,557.000000,575.799988,440.925079,253092
2009-12-16,579.400024,590.000000,570.150024,583.200012,446.591675,96714
2009-12-17,583.349976,625.000000,583.349976,609.549988,466.769592,133023
2009-12-18,608.000000,661.150024,603.700012,648.500000,496.595947,248250
2009-12-21,648.500000,670.000000,611.250000,621.299988,475.767212,160368
2009-12-22,630.000000,640.299988,622.549988,630.549988,482.850494,56488
2009-12-23,null,null,null,null,null,null
2009-12-24,null,null,null,null,null,null
2009-12-29,null,null,null,null,null,null
2009-12-30,null,null,null,null,null,null
2009-12-31,null,null,null,null,null,null
2010-01-04,627.000000,668.000000,620.000000,645.400024,494.222076,288696
2010-01-05,662.950012,662.950012,645.000000,650.349976,498.012665,93339
2010-01-06,653.000000,656.900024,636.500000,641.250000,491.044189,73531
2010-01-07,645.000000,647.000000,625.099976,628.150024,481.012695,68365
2010-01-08,632.500000,638.700012,622.000000,625.200012,478.753693,49900
2010-01-11,630.049988,636.000000,619.000000,629.200012,481.816681,135995
2010-01-12,634.900024,642.950012,615.000000,620.150024,474.886627,152063
2010-01-13,619.000000,634.950012,610.000000,616.049988,471.746948,170488
2010-01-14,638.000000,649.799988,621.900024,623.799988,477.681641,237425
2010-01-15,628.000000,633.849976,615.000000,618.650024,473.738007,121042
2010-01-18,623.000000,623.000000,612.000000,615.849976,471.593781,45717
2010-01-19,618.000000,635.000000,616.000000,617.700012,473.010559,211406
2010-01-20,625.000000,633.000000,617.750000,621.000000,475.537415,128722
2010-01-21,621.000000,625.000000,612.000000,613.750000,469.985779,51973
2010-01-22,625.000000,625.000000,590.000000,592.750000,453.904724,180270
2010-01-25,593.950012,609.000000,588.849976,598.549988,458.346191,80426
2010-01-27,598.000000,610.450012,580.099976,583.099976,446.515106,69933
2010-01-28,585.000000,596.900024,570.299988,574.450012,439.891327,39706
2010-01-29,566.099976,568.849976,556.250000,564.750000,432.463501,40118
2010-02-01,567.849976,591.000000,560.000000,586.250000,448.927338,94387
2010-02-02,594.700012,594.700012,574.000000,579.799988,443.988190,89072
2010-02-03,590.000000,590.000000,568.049988,573.000000,438.780975,52902
2010-02-04,575.000000,593.000000,563.150024,566.200012,433.573730,85044
2010-02-05,550.000000,565.000000,541.000000,553.700012,424.001770,32759
2010-02-06,null,null,null,null,null,null
2010-02-08,557.500000,586.200012,555.500000,579.450012,443.720184,397754
2010-02-09,583.000000,588.400024,563.099976,564.950012,432.616608,85139
2010-02-10,572.849976,573.000000,561.400024,563.750000,431.697693,19810
2010-02-11,568.000000,569.000000,561.400024,563.549988,431.544525,88814
2010-02-15,560.000000,569.849976,535.799988,557.400024,426.835114,12665
2010-02-16,559.049988,573.900024,551.599976,562.450012,430.702240,45447
2010-02-17,572.200012,587.500000,565.500000,570.549988,436.904846,269225
2010-02-18,561.599976,583.000000,561.599976,572.200012,438.168365,42546
2010-02-19,561.000000,574.599976,555.000000,562.250000,430.549042,31530
2010-02-22,567.000000,595.000000,555.000000,571.349976,437.517517,448737
2010-02-23,575.000000,593.900024,573.000000,589.849976,451.684052,177437
2010-02-24,585.000000,603.950012,585.000000,600.200012,459.609650,257466
